Threat_Engineering_Category,Subcategory,Dependency,Maturity_Tag,Maturity_Level_subject,Result
Capabilities,Data Science,Data Modeling Based Signals,CA.3.4,"The process in which data models are leveraged and managed for detection is well defined, and there are detections developed leveraged various data models ",
Capabilities,Data Science,Machining Learning Models,CA.3.5,Machine Learning Models are being leveraged whether home grown or acquired teechnology. They are providing value within the detection porfolio.,
Capabilities,Data Science,Threat Scoring Models ,CA.3.6,There are well defined frameworks that threat score various identities and or objects within the environment to provide greater security context and detection capability. ,
Capabilities,Prevention,Automated Prevention,CA.3.7,Automation around prevention for network and endpoint related threats is available and being leveraged. ,
Capabilities,Prevention,Automated Response,CA.3.8,"There is automation present that supports as well defined processed for incident response investigation, mitigation, and forensic capability",
Capabilities,SOAR,Automated Prevention,CA.3.9,The SOAR process or platform has developed integrations for assisting prevention operations,
Capabilities,SOAR,Automated Response,CA.3.10,Every detection that is triggered is accompanied by a incident response playbook to aid investigations and response operations,
Capabilities,SOAR,Automated Investigation,CA.3.11,All detections have a standardized investigation playbooks or runbook attached to it,
Capabilities,SOAR,Indicator Collection & Enrichment,CA.3.12,Automated enrichments are present and operational for all detection where applicable,
Capabilities,SOAR,Scenario Analysis ,CA.3.13,There are aggregations or checks against additional detection or signal data to correlate potential threat scenarios. These scenarios are well defined and can be maintained easily within the detection technology stack,
Capabilities,SOAR,Detection Contextualization,CA.3.14,Applicable aggregations exist for detection contextualizations. These contextualizations are integrated into the detection workflow and provide various context automatically,
Capabilities,SOAR,Automated Playbooks,CA.3.15,Playbooks are automtically executed and are attached to relevent detections,
Capabilities,SOAR,Integrations,CA.3.16,Most if not all solutions required are covered by an integration that is provide by the SOAR technology,
Capabilities,SOAR,Artificial Intelligence DevOps,CA.3.17,The SOAR platform provides its own generative AI as well as integrations ,
Capabilities,SOAR,DevOps Operational Features,CA.3.18,The SOAR platfrom has a very flexible and easy to use developer environment,
Capabilities,Intelligence,Intel Collection,CA.3.19,Automated intelligence processing or collection exists,
Capabilities,Intelligence,Large Scale Intel Correlation,CA.3.20,All intelligence is stored within data store technologies and processed into actionable intelligence,
Capabilities,Intelligence,Indicator Enrichment,CA.3.21,All detections have indicator enrichments where applicable,
